"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2015","1,138.12","1,125.97","1,139.01","1,121.38","","1.11%"
"03/12/2015","1,125.64","1,132.08","1,136.80","1,119.25","","-0.57%"
"03/11/2015","1,132.08","1,127.50","1,133.27","1,123.90","","0.41%"
"03/10/2015","1,127.41","1,115.05","1,127.41","1,115.00","","1.11%"
"03/09/2015","1,115.00","1,111.41","1,117.09","1,108.40","","0.38%"
"03/06/2015","1,110.81","1,101.95","1,112.84","1,097.33","","0.77%"
"03/05/2015","1,102.35","1,101.52","1,103.35","1,099.63","","0.08%"
"03/04/2015","1,101.52","1,096.83","1,102.60","1,094.87","","0.43%"
"03/03/2015","1,096.83","1,103.05","1,105.10","1,095.35","","-0.56%"
"03/02/2015","1,103.05","1,102.05","1,106.70","1,100.10","","0.16%"
"02/27/2015","1,101.28","1,102.40","1,102.86","1,097.51","","-0.12%"
"02/26/2015","1,102.65","1,100.71","1,103.19","1,093.87","","0.18%"
"02/25/2015","1,100.71","1,105.83","1,106.70","1,097.49","","-0.46%"
"02/24/2015","1,105.83","1,108.40","1,116.48","1,105.37","","-0.23%"
"02/23/2015","1,108.40","1,108.95","1,112.30","1,107.65","","-0.19%"
"02/20/2015","1,110.56","1,111.75","1,112.84","1,109.70","","-0.11%"
"02/19/2015","1,111.82","1,108.62","1,113.70","1,108.27","","0.29%"
"02/18/2015","1,108.62","1,108.87","1,114.97","1,107.93","","-0.02%"
"02/17/2015","1,108.87","1,101.77","1,109.20","1,097.90","","0.64%"
"02/16/2015","1,101.77","1,097.67","1,104.20","1,094.06","","0.35%"
"02/13/2015","1,097.88","1,101.22","1,102.21","1,095.46","","-0.33%"
"02/12/2015","1,101.56","1,108.25","1,112.32","1,101.47","","-0.60%"
"02/11/2015","1,108.25","1,099.30","1,110.15","1,096.21","","0.81%"
"02/10/2015","1,099.30","1,095.23","1,100.76","1,088.54","","0.37%"
"02/09/2015","1,095.23","1,097.75","1,100.40","1,094.81","","-0.25%"
"02/06/2015","1,098.01","1,086.54","1,098.64","1,085.31","","1.06%"
"02/05/2015","1,086.54","1,088.09","1,093.30","1,085.65","","-0.14%"
"02/04/2015","1,088.09","1,093.04","1,093.90","1,084.11","","-0.45%"
"02/03/2015","1,093.04","1,099.45","1,101.85","1,091.96","","-0.58%"
"02/02/2015","1,099.45","1,101.90","1,104.80","1,097.61","","-0.27%"
"01/30/2015","1,102.40","1,099.96","1,106.30","1,092.67","","0.22%"
"01/29/2015","1,099.96","1,085.87","1,100.77","1,085.40","","1.30%"
"01/28/2015","1,085.87","1,078.01","1,088.70","1,077.60","","0.73%"
"01/27/2015","1,078.01","1,080.70","1,085.30","1,075.50","","-0.25%"
"01/26/2015","1,080.70","1,078.28","1,084.08","1,077.45","","0.30%"
"01/23/2015","1,077.51","1,085.24","1,088.10","1,076.08","","-0.71%"
"01/22/2015","1,085.24","1,082.30","1,089.40","1,081.91","","0.27%"
"01/21/2015","1,082.30","1,088.02","1,092.10","1,081.00","","-0.53%"
"01/20/2015","1,088.02","1,079.40","1,089.81","1,079.15","","0.80%"
"01/19/2015","1,079.40","1,079.30","1,084.80","1,076.84","","0.03%"
"01/16/2015","1,079.07","1,075.87","1,081.60","1,073.81","","0.31%"
"01/15/2015","1,075.69","1,082.85","1,087.70","1,074.38","","-0.66%"
