"Date","Price","Open","High","Low","Vol.","Change %"
"03/10/2015","21,360.0","21,320.0","21,390.0","21,320.0","","0.02%"
"03/09/2015","21,355.0","21,320.0","21,390.0","21,315.0","","0.02%"
"03/06/2015","21,350.0","21,320.0","21,400.0","21,280.0","","-0.02%"
"03/05/2015","21,355.0","21,320.0","21,355.0","21,320.0","","-0.05%"
"03/04/2015","21,365.0","21,320.0","21,385.0","21,320.0","","0.08%"
"03/03/2015","21,347.5","21,320.0","21,377.5","21,320.0","","0.00%"
"03/02/2015","21,347.5","21,320.0","21,396.5","21,315.0","","0.00%"
"02/27/2015","21,347.5","21,330.0","21,381.5","21,320.0","","-0.08%"
"02/26/2015","21,365.0","21,330.0","21,399.0","21,330.0","","0.00%"
"02/25/2015","21,365.0","21,290.0","21,380.0","21,290.0","","0.12%"
"02/24/2015","21,340.0","21,315.0","21,385.0","21,290.0","","0.05%"
"02/23/2015","21,330.0","21,300.0","21,330.0","21,300.0","","0.00%"
"02/20/2015","21,330.0","21,300.0","21,330.0","21,300.0","","0.00%"
"02/19/2015","21,330.0","21,300.0","21,330.0","21,300.0","","0.00%"
"02/18/2015","21,330.0","21,300.0","21,330.0","21,300.0","","0.00%"
"02/17/2015","21,330.0","21,300.0","21,330.0","21,300.0","","0.00%"
"02/16/2015","21,330.0","21,300.0","21,330.0","21,300.0","","0.00%"
"02/13/2015","21,330.0","21,300.0","21,350.0","21,300.0","","0.20%"
"02/12/2015","21,287.5","21,226.0","21,390.0","21,226.0","","-0.14%"
"02/11/2015","21,318.0","21,310.0","21,370.0","21,226.0","","0.72%"
"02/10/2015","21,165.0","21,263.3","21,370.0","21,114.0","","-0.90%"
"02/09/2015","21,357.5","21,310.0","21,370.0","21,219.0","","0.35%"
"02/06/2015","21,282.0","21,320.0","21,370.0","21,205.5","","-0.01%"
"02/05/2015","21,284.0","21,270.0","21,408.0","21,234.0","","-0.58%"
"02/04/2015","21,408.0","21,185.0","21,408.0","21,185.0","","0.81%"
"02/03/2015","21,235.0","21,320.0","21,390.0","21,185.0","","-0.09%"
"02/02/2015","21,254.0","21,310.0","21,405.0","21,203.0","","-0.30%"
"01/30/2015","21,317.0","21,231.0","21,375.0","21,229.0","","0.17%"
"01/29/2015","21,280.0","21,320.0","21,390.0","21,230.0","","-0.30%"
"01/28/2015","21,345.0","21,320.0","21,355.0","21,315.0","","0.00%"
"01/27/2015","21,345.0","21,320.0","21,355.0","21,320.0","","0.00%"
"01/26/2015","21,345.0","21,320.0","21,355.0","21,315.0","","-0.02%"
"01/23/2015","21,350.0","21,330.0","21,370.0","21,315.0","","-0.05%"
"01/22/2015","21,360.0","21,350.0","21,380.0","21,320.0","","-0.09%"
"01/21/2015","21,380.0","21,330.0","21,380.0","21,330.0","","0.09%"
"01/20/2015","21,360.0","21,330.0","21,370.0","21,315.0","","0.02%"
"01/19/2015","21,355.0","21,320.0","21,355.0","21,310.0","","0.07%"
"01/16/2015","21,340.0","21,320.0","21,365.0","21,310.0","","-0.02%"
"01/15/2015","21,345.0","21,310.0","21,365.0","21,310.0","","0.02%"
"01/14/2015","21,340.0","21,315.0","21,360.0","21,310.0","","-0.02%"
"01/13/2015","21,345.0","21,315.0","21,370.0","21,310.0","","0.00%"
"01/12/2015","21,345.0","21,340.0","21,390.0","21,315.0","","-0.12%"
"01/09/2015","21,370.0","21,350.0","21,410.0","21,310.0","","-0.08%"
"01/08/2015","21,387.5","21,420.0","21,477.5","21,350.0","","-0.24%"
"01/07/2015","21,440.0","21,420.0","21,470.0","21,370.0","","0.02%"
"01/06/2015","21,436.5","21,370.0","21,436.5","21,370.0","","0.23%"
"01/05/2015","21,387.5","21,385.0","21,417.5","21,370.0","","0.00%"
"01/02/2015","21,387.5","21,370.0","21,387.5","21,370.0","","0.00%"
"01/01/2015","21,387.5","21,370.0","21,387.5","21,370.0","","0.00%"
"12/31/2014","21,387.5","21,370.0","21,412.5","21,330.0","","-0.02%"
"12/30/2014","21,392.5","21,370.0","21,402.5","21,370.0","","0.19%"
"12/29/2014","21,352.5","21,370.0","21,442.5","21,300.0","","-0.16%"
"12/26/2014","21,387.5","21,370.0","21,407.5","21,370.0","","-0.06%"
"12/25/2014","21,400.0","21,370.0","21,420.0","21,350.0","","0.06%"
"12/24/2014","21,387.5","21,370.0","21,397.5","21,350.0","","0.01%"
"12/23/2014","21,385.0","21,320.0","21,410.0","21,320.0","","0.00%"
"12/22/2014","21,385.0","21,370.0","21,410.0","21,320.0","","0.05%"
"12/19/2014","21,375.0","21,370.0","21,395.0","21,335.0","","-0.06%"
"12/18/2014","21,387.5","21,370.0","21,417.5","21,340.0","","0.00%"
"12/17/2014","21,387.5","21,360.0","21,407.5","21,340.0","","0.02%"
"12/16/2014","21,382.5","21,370.0","21,412.5","21,350.0","","-0.02%"
"12/15/2014","21,387.5","21,370.0","21,407.5","21,310.0","","0.00%"
"12/12/2014","21,387.5","21,340.0","21,407.5","21,340.0","","0.11%"
"12/11/2014","21,365.0","21,340.0","21,396.0","21,330.0","","0.00%"
"12/10/2014","21,365.0","21,340.0","21,380.0","21,320.0","","0.00%"
"12/09/2014","21,365.0","21,300.0","21,389.0","21,300.0","","0.12%"
"12/08/2014","21,340.0","21,310.0","21,380.0","21,300.0","","0.02%"
"12/05/2014","21,335.0","21,300.0","21,365.0","21,300.0","","-0.02%"
"12/04/2014","21,340.0","21,340.0","21,408.0","21,300.0","","-0.12%"
"12/03/2014","21,365.0","21,370.0","21,395.0","21,340.0","","-0.09%"
"12/02/2014","21,385.0","21,390.0","21,415.0","21,360.0","","-0.06%"
"12/01/2014","21,397.5","21,390.0","21,422.5","21,315.0","","0.21%"
"11/28/2014","21,352.5","21,390.0","21,447.5","21,300.0","","-0.20%"
"11/27/2014","21,395.0","21,390.0","21,400.0","21,350.0","","0.02%"
"11/26/2014","21,390.0","21,370.0","21,410.0","21,350.0","","0.02%"
"11/25/2014","21,385.0","21,370.0","21,420.0","21,310.0","","0.14%"
"11/24/2014","21,355.0","21,320.0","21,460.0","21,285.0","","-0.09%"
"11/21/2014","21,375.0","21,295.0","21,385.0","21,295.0","","0.11%"
"11/20/2014","21,352.5","21,280.0","21,446.5","21,280.0","","0.01%"
"11/19/2014","21,350.0","21,360.0","21,460.0","21,280.0","","-0.18%"
"11/18/2014","21,387.5","21,310.0","21,432.5","21,280.0","","0.20%"
"11/17/2014","21,345.0","21,290.0","21,365.0","21,270.0","","0.09%"
"11/14/2014","21,325.0","21,290.0","21,345.0","21,185.0","","0.00%"
"11/13/2014","21,325.0","21,260.0","21,345.0","21,185.0","","0.14%"
"11/12/2014","21,295.0","21,250.0","21,315.0","21,185.0","","0.00%"
"11/11/2014","21,295.0","21,260.0","21,315.0","21,185.0","","0.20%"
"11/10/2014","21,252.5","21,220.0","21,357.5","21,185.0","","-0.20%"
"11/07/2014","21,295.0","21,255.0","21,295.0","21,185.0","","0.05%"
"11/06/2014","21,285.0","21,228.0","21,295.0","21,228.0","","0.03%"
"11/05/2014","21,279.0","21,250.0","21,341.0","21,185.0","","-0.05%"
"11/04/2014","21,290.0","21,250.0","21,330.0","21,200.0","","-0.02%"
"11/03/2014","21,295.0","21,240.0","21,315.0","21,185.0","","0.07%"
"10/31/2014","21,280.0","21,220.0","21,285.0","21,200.0","","0.09%"
"10/30/2014","21,260.0","21,245.0","21,290.0","21,200.0","","-0.05%"
"10/29/2014","21,270.0","21,255.0","21,280.0","21,200.0","","-0.05%"
"10/28/2014","21,280.0","21,230.0","21,310.0","21,185.0","","-0.02%"
"10/27/2014","21,285.0","21,250.0","21,285.0","21,185.0","","0.05%"
"10/24/2014","21,275.0","21,240.0","21,285.0","21,185.0","","0.05%"
"10/23/2014","21,265.0","21,220.0","21,275.0","21,210.0","","0.09%"
"10/22/2014","21,245.0","21,230.0","21,275.0","21,200.0","","-0.09%"
"10/21/2014","21,265.0","21,220.0","21,275.0","21,185.0","","0.05%"
"10/20/2014","21,255.0","21,220.0","21,285.0","21,185.0","","0.05%"
"10/17/2014","21,245.0","21,200.0","21,265.0","21,185.0","","0.02%"
"10/16/2014","21,240.0","21,200.0","21,280.0","21,185.0","","-0.02%"
"10/15/2014","21,245.0","21,210.0","21,250.0","21,180.0","","0.12%"
"10/14/2014","21,220.0","21,180.0","21,225.0","21,180.0","","0.02%"
"10/13/2014","21,215.0","21,220.0","21,245.0","21,180.0","","-0.04%"
"10/10/2014","21,222.5","21,200.0","21,222.5","21,160.0","","0.04%"
"10/09/2014","21,215.0","21,210.0","21,275.0","21,185.0","","-0.24%"
"10/08/2014","21,265.0","21,250.0","21,280.0","21,185.0","","-0.09%"
"10/07/2014","21,285.0","21,260.0","21,285.0","21,185.0","","0.00%"
"10/06/2014","21,285.0","21,255.0","21,300.0","21,240.0","","0.18%"
"10/03/2014","21,247.5","21,235.0","21,332.5","21,190.0","","-0.06%"
"10/02/2014","21,260.0","21,210.0","21,270.0","21,210.0","","0.14%"
"10/01/2014","21,230.0","21,195.0","21,260.0","21,180.0","","0.05%"
"09/30/2014","21,220.0","21,195.0","21,240.0","21,180.0","","-0.01%"
"09/29/2014","21,222.0","21,190.0","21,222.0","21,180.0","","0.02%"
"09/26/2014","21,217.5","21,195.0","21,237.5","21,170.0","","0.00%"
"09/25/2014","21,217.5","21,190.0","21,237.5","21,170.0","","0.01%"
"09/24/2014","21,215.0","21,200.0","21,240.0","21,170.0","","-0.05%"
"09/23/2014","21,225.0","21,200.0","21,235.0","21,160.0","","0.05%"
"09/22/2014","21,215.0","21,180.0","21,225.0","21,170.0","","0.05%"
"09/19/2014","21,205.0","21,170.0","21,225.0","21,160.0","","-0.01%"
"09/18/2014","21,207.5","21,175.0","21,212.5","21,160.0","","0.04%"
"09/17/2014","21,200.0","21,175.0","21,220.0","21,170.0","","0.01%"
"09/16/2014","21,197.5","21,175.0","21,227.5","21,155.0","","0.00%"
"09/15/2014","21,197.5","21,170.0","21,227.5","21,160.0","","0.00%"
"09/12/2014","21,197.5","21,180.0","21,227.5","21,170.0","","-0.04%"
"09/11/2014","21,205.0","21,180.0","21,225.0","21,170.0","","0.02%"
"09/10/2014","21,200.0","21,180.0","21,230.0","21,170.0","","0.00%"
"09/09/2014","21,200.0","21,175.0","21,230.0","21,160.0","","0.02%"
"09/08/2014","21,195.0","21,170.0","21,210.0","21,160.0","","0.00%"
"09/05/2014","21,195.0","21,170.0","21,225.0","21,160.0","","0.01%"
"09/04/2014","21,192.5","21,170.0","21,222.5","21,160.0","","-0.11%"
"09/03/2014","21,215.0","21,170.0","21,220.0","21,160.0","","0.09%"
"09/02/2014","21,195.0","21,170.0","21,195.0","21,170.0","","0.00%"
"09/01/2014","21,195.0","21,170.0","21,195.0","21,170.0","","0.00%"
"08/29/2014","21,195.0","21,170.0","21,215.0","21,145.0","","0.00%"
"08/28/2014","21,195.0","21,170.0","21,215.0","21,145.0","","0.00%"
"08/27/2014","21,195.0","21,180.0","21,210.0","21,150.0","","-0.07%"
"08/26/2014","21,210.0","21,180.0","21,225.0","21,170.0","","0.02%"
"08/25/2014","21,205.0","21,170.0","21,215.0","21,160.0","","0.04%"
"08/22/2014","21,197.5","21,170.0","21,212.5","21,150.0","","0.00%"
"08/21/2014","21,197.5","21,175.0","21,212.5","21,170.0","","0.00%"
"08/20/2014","21,197.5","21,175.0","21,207.5","21,150.0","","0.00%"
"08/19/2014","21,197.5","21,175.0","21,212.5","21,150.0","","0.00%"
"08/18/2014","21,197.5","21,180.0","21,207.5","21,170.0","","-0.01%"
"08/15/2014","21,200.0","21,180.0","21,215.0","21,170.0","","0.00%"
"08/14/2014","21,200.0","21,175.0","21,215.0","21,155.0","","-0.02%"
"08/13/2014","21,205.0","21,170.0","21,210.0","21,150.0","","0.04%"
"08/12/2014","21,197.5","21,175.0","21,222.5","21,160.0","","-0.06%"
"08/11/2014","21,210.0","21,185.0","21,225.0","21,165.0","","-0.05%"
"08/08/2014","21,220.0","21,180.0","21,230.0","21,150.0","","0.00%"
"08/07/2014","21,220.0","21,190.0","21,240.0","21,180.0","","0.02%"
"08/06/2014","21,215.0","21,190.0","21,225.0","21,180.0","","-0.07%"
"08/05/2014","21,230.0","21,200.0","21,240.0","21,185.0","","0.00%"
"08/04/2014","21,230.0","21,200.0","21,240.0","21,170.0","","0.08%"
"08/01/2014","21,214.0","21,200.0","21,236.0","21,190.0","","-0.02%"
"07/31/2014","21,217.5","21,210.0","21,247.5","21,190.0","","-0.06%"
"07/30/2014","21,230.0","21,205.0","21,230.0","21,200.0","","0.00%"
"07/29/2014","21,230.0","21,200.0","21,230.0","21,190.0","","0.01%"
"07/28/2014","21,227.5","21,200.0","21,232.5","21,190.0","","0.00%"
"07/25/2014","21,227.5","21,210.0","21,237.5","21,190.0","","-0.06%"
"07/24/2014","21,240.0","21,215.0","21,250.0","21,200.0","","0.05%"
