Date,Close,Open,High,Low,Volume
2000-07-31,101.55,101.55,101.55,101.55,10.0
2000-08-02,103.38,103.38,103.38,103.38,
2000-08-04,105.2,105.2,105.2,105.2,0.0
2000-08-07,106.92,106.92,106.92,106.92,10.0
2000-08-09,108.64,108.64,108.64,108.64,20.0
2000-08-11,110.36,110.36,110.36,110.36,10.0
2000-08-14,112.08,112.08,112.08,112.08,10.0
2000-08-16,113.8,113.8,113.8,113.8,20.0
2000-08-18,115.52,115.52,115.52,115.52,10.0
2000-08-21,117.24,117.24,117.24,117.24,40.0
2000-08-23,118.96,118.96,118.96,118.96,110.0
2000-08-25,118.84,118.84,118.84,118.84,100.0
2000-08-28,117.0,117.0,117.0,117.0,100.0
2000-08-30,115.15,115.15,115.15,115.15,130.0
2000-09-01,113.37,113.37,113.37,113.37,100.0
2000-09-06,112.51,112.51,112.51,112.51,60.0
2000-09-08,112.39,112.39,112.39,112.39,50.0
2000-09-11,114.11,114.11,114.11,114.11,30.0
2000-09-13,116.08,116.08,116.08,116.08,20.0
2000-09-15,118.04,118.04,118.04,118.04,50.0
2000-09-18,118.19,118.19,118.19,118.19,70.0
2000-09-20,118.21,118.21,118.21,118.21,40.0
2000-09-22,118.76,118.76,118.76,118.76,70.0
2000-09-25,118.98,118.98,118.98,118.98,60.0
2000-09-27,119.69,119.69,119.69,119.69,60.0
2000-09-29,120.71,120.71,120.71,120.71,50.0
2000-10-02,120.92,120.92,120.92,120.92,50.0
2000-10-04,121.14,121.14,121.14,121.14,60.0
2000-10-06,122.21,122.21,122.21,122.21,40.0
2000-10-09,124.33,124.33,124.33,124.33,30.0
2000-10-11,126.45,126.45,126.45,126.45,50.0
2000-10-13,128.57,128.57,128.57,128.57,50.0
2000-10-16,130.71,130.71,130.71,130.71,30.0
2000-10-18,132.85,132.85,132.85,132.85,30.0
2000-10-20,135.04,135.04,135.04,135.04,70.0
2000-10-23,136.55,136.55,136.55,136.55,40.0
2000-10-25,137.08,137.08,137.08,137.08,50.0
2000-10-27,139.57,139.57,139.57,139.57,90.0
2000-10-30,140.84,140.84,140.84,140.84,100.0
2000-11-01,143.33,143.33,143.33,143.33,100.0
2000-11-03,145.83,145.83,145.83,145.83,80.0
2000-11-06,148.57,148.57,148.57,148.57,60.0
2000-11-08,151.32,151.32,151.32,151.32,30.0
2000-11-10,154.08,154.08,154.08,154.08,60.0
2000-11-13,156.84,156.84,156.84,156.84,20.0
2000-11-15,159.6,159.6,159.6,159.6,10.0
2000-11-17,162.36,162.36,162.36,162.36,40.0
2000-11-20,165.7,165.7,165.7,165.7,60.0
2000-11-22,165.52,165.52,165.52,165.52,140.0
2000-11-24,166.17,166.17,166.17,166.17,120.0
2000-11-27,165.6,165.6,165.6,165.6,90.0
2000-11-29,168.73,168.73,168.73,168.73,80.0
2000-12-01,171.87,171.87,171.87,171.87,40.0
2000-12-04,175.0,175.0,175.0,175.0,30.0
2000-12-06,178.13,178.13,178.13,178.13,60.0
2000-12-08,181.26,181.26,181.26,181.26,190.0
2000-12-11,189.94,189.94,189.94,189.94,130.0
2000-12-13,184.48,184.48,184.48,184.48,110.0
2000-12-15,187.62,187.62,187.62,187.62,50.0
2000-12-18,191.11,191.11,191.11,191.11,80.0
2000-12-20,194.85,194.85,194.85,194.85,40.0
2000-12-22,198.58,198.58,198.58,198.58,60.0
2000-12-25,202.32,202.32,202.32,202.32,20.0
2000-12-27,203.09,203.09,203.09,203.09,40.0
2000-12-29,206.83,206.83,206.83,206.83,60.0
2001-01-03,210.56,210.56,210.56,210.56,40.0
2001-01-05,214.32,214.32,214.32,214.32,50.0
2001-01-08,218.12,218.12,218.12,218.12,70.0
2001-01-10,222.15,222.15,222.15,222.15,180.0
2001-01-12,225.67,225.67,225.67,225.67,220.0
2001-01-15,228.35,228.35,228.35,228.35,120.0
