Date,Price,Open,High,Low,Vol.,Change %
1996-01-02,"11,011.0","11,010.0","11,011.0","11,010.0",,0.00%
1996-01-03,"11,011.5","11,010.0","11,011.5","11,010.0",,0.00%
1996-01-04,"11,011.5","11,010.0","11,011.5","11,010.0",,0.00%
1996-01-05,"11,011.5","11,010.0","11,011.5","11,010.0",,0.00%
1996-01-08,"11,011.5","11,010.0","11,011.5","11,010.0",,0.00%
1996-01-09,"11,011.0","11,009.0","11,011.0","11,009.0",,0.00%
1996-01-10,"11,011.5","11,010.0","11,011.5","11,010.0",,0.00%
1996-01-11,"11,011.5","11,010.0","11,011.5","11,010.0",,0.00%
1996-01-12,"11,012.0","11,010.0","11,012.0","11,010.0",,0.00%
1996-01-15,"11,012.0","11,010.0","11,012.0","11,010.0",,0.00%
1996-01-16,"11,013.5","11,012.0","11,013.5","11,012.0",,0.01%
1996-01-17,"11,013.5","11,012.0","11,013.5","11,012.0",,0.00%
1996-01-18,"11,012.5","11,010.0","11,012.5","11,010.0",,-0.01%
1996-01-19,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-22,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-23,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-24,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-25,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-26,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-29,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-30,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-01-31,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-01,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-02,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-05,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-06,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-07,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-08,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-09,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-12,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-13,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-14,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-15,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-16,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-19,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-20,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-21,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-22,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-23,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-26,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-27,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-28,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-02-29,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-03-01,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-03-04,"11,011.0","11,008.0","11,011.0","11,008.0",,-0.01%
1996-03-05,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-06,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-07,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-08,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-11,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-12,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-13,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-14,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-15,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-18,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-19,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-20,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-21,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-22,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-25,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-26,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-27,"11,011.0","11,008.0","11,011.0","11,008.0",,0.00%
1996-03-28,"11,013.0","11,010.0","11,013.0","11,010.0",,0.02%
1996-03-29,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-01,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-02,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-03,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-04,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-05,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-08,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-09,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-10,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-11,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-12,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-15,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-16,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-17,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-18,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-19,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-22,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-23,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-24,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-25,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-26,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-29,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-04-30,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-01,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-02,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-03,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-06,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-07,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-08,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-09,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-10,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-13,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-14,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-15,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-16,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-17,"11,013.0","11,010.0","11,013.0","11,010.0",,0.00%
1996-05-20,"11,010.0","11,005.0","11,010.0","11,005.0",,-0.03%
1996-05-21,"11,010.0","11,005.0","11,010.0","11,005.0",,0.00%
1996-05-22,"11,010.0","11,005.0","11,010.0","11,005.0",,0.00%
1996-05-23,"11,011.5","11,009.0","11,011.5","11,009.0",,0.01%
1996-05-24,"11,011.5","11,009.0","11,011.5","11,009.0",,0.00%
1996-05-27,"11,011.5","11,009.0","11,011.5","11,009.0",,0.00%
1996-05-28,"11,010.0","11,005.0","11,010.0","11,005.0",,-0.01%
1996-05-29,"11,010.0","11,005.0","11,010.0","11,005.0",,0.00%
1996-05-30,"11,010.0","11,005.0","11,010.0","11,005.0",,0.00%
1996-05-31,"11,011.5","11,009.0","11,011.5","11,009.0",,0.01%
1996-06-03,"11,014.5","11,012.0","11,014.5","11,012.0",,0.03%
1996-06-04,"11,011.5","11,009.0","11,011.5","11,009.0",,-0.03%
1996-06-05,"11,013.0","11,010.0","11,013.0","11,010.0",,0.01%
1996-06-06,"11,010.0","11,005.0","11,010.0","11,005.0",,-0.03%
1996-06-07,"11,011.5","11,009.0","11,011.5","11,009.0",,0.01%
1996-06-10,"11,010.0","11,005.0","11,010.0","11,005.0",,-0.01%
1996-06-11,"11,012.0","11,010.0","11,012.0","11,010.0",,0.02%
1996-06-12,"11,012.0","11,010.0","11,012.0","11,010.0",,0.00%
1996-06-13,"11,013.0","11,011.0","11,013.0","11,011.0",,0.01%
1996-06-14,"11,013.5","11,011.0","11,013.5","11,011.0",,0.00%
1996-06-17,"11,011.5","11,009.0","11,011.5","11,009.0",,-0.02%
1996-06-18,"11,012.5","11,010.0","11,012.5","11,010.0",,0.01%
1996-06-19,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-06-20,"11,014.5","11,013.0","11,014.5","11,013.0",,0.02%
1996-06-21,"11,014.0","11,013.0","11,014.0","11,013.0",,0.00%
1996-06-24,"11,012.5","11,010.0","11,012.5","11,010.0",,-0.01%
1996-06-25,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-06-26,"11,012.5","11,010.0","11,012.5","11,010.0",,0.00%
1996-06-27,"11,015.0","11,013.0","11,015.0","11,013.0",,0.02%
1996-06-28,"11,014.0","11,012.0","11,014.0","11,012.0",,-0.01%
1996-07-01,"11,014.0","11,012.0","11,014.0","11,012.0",,0.00%
1996-07-02,"11,014.0","11,012.0","11,014.0","11,012.0",,0.00%
1996-07-03,"11,014.0","11,012.0","11,014.0","11,012.0",,0.00%
1996-07-04,"11,016.0","11,013.0","11,016.0","11,013.0",,0.02%
1996-07-05,"11,016.0","11,013.0","11,016.0","11,013.0",,0.00%
1996-07-08,"11,016.5","11,014.0","11,016.5","11,014.0",,0.00%
1996-07-09,"11,016.5","11,014.0","11,016.5","11,014.0",,0.00%
1996-07-10,"11,016.5","11,014.0","11,016.5","11,014.0",,0.00%
1996-07-11,"11,016.5","11,014.0","11,016.5","11,014.0",,0.00%
1996-07-12,"11,016.5","11,014.0","11,016.5","11,014.0",,0.00%
1996-07-15,"11,015.5","11,013.0","11,015.5","11,013.0",,-0.01%
1996-07-16,"11,015.5","11,013.0","11,015.5","11,013.0",,0.00%
1996-07-17,"11,018.5","11,016.0","11,018.5","11,016.0",,0.03%
1996-07-18,"11,016.0","11,013.0","11,016.0","11,013.0",,-0.02%
1996-07-19,"11,019.0","11,017.0","11,019.0","11,017.0",,0.03%
1996-07-22,"11,018.5","11,017.0","11,018.5","11,017.0",,0.00%
1996-07-23,"11,020.0","11,018.0","11,020.0","11,018.0",,0.01%
1996-07-24,"11,019.5","11,018.0","11,019.5","11,018.0",,0.00%
1996-07-25,"11,020.0","11,018.0","11,020.0","11,018.0",,0.00%
1996-07-26,"11,020.0","11,018.0","11,020.0","11,018.0",,0.00%
1996-07-29,"11,020.0","11,018.0","11,020.0","11,018.0",,0.00%
1996-07-30,"11,020.0","11,018.0","11,020.0","11,018.0",,0.00%
1996-07-31,"11,020.0","11,018.0","11,020.0","11,018.0",,0.00%
1996-08-01,"11,018.0","11,014.0","11,018.0","11,014.0",,-0.02%
1996-08-02,"11,018.0","11,014.0","11,018.0","11,014.0",,0.00%
1996-08-05,"11,017.0","11,014.0","11,017.0","11,014.0",,-0.01%
1996-08-06,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-07,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-08,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-09,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-12,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-13,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-14,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-15,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-16,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-19,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-20,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-21,"11,017.0","11,014.0","11,017.0","11,014.0",,0.00%
1996-08-22,"11,019.5","11,018.0","11,019.5","11,018.0",,0.02%
1996-08-23,"11,019.5","11,015.0","11,019.5","11,015.0",,0.00%
1996-08-26,"11,019.5","11,015.0","11,019.5","11,015.0",,0.00%
1996-08-27,"11,020.5","11,019.0","11,020.5","11,019.0",,0.01%
1996-08-28,"11,020.5","11,019.0","11,020.5","11,019.0",,0.00%
1996-08-29,"11,019.5","11,017.0","11,019.5","11,017.0",,-0.01%
1996-08-30,"11,019.5","11,017.0","11,019.5","11,017.0",,0.00%
